,Stock,Alpha,Beta,ri-rf,股票代码
1309,603690.0,-0.00012993543682729425,0.7473679221954656,-0.1008457,60000
1310,603693.0,-0.06019760653686704,0.5988557760675586,-0.13712773913043477,60000
1311,603696.0,0.34531328911169556,2.4839535962043158,0.037120099999999996,60000
1312,603698.0,-0.13301949178702366,0.7030522550138338,-0.2411838,60000
1313,603699.0,0.04984471701246879,1.5876147449812397,-0.15295011428571428,60000
1314,603701.0,0.011972880106522504,1.070563873932717,-0.13354636170212766,60000
1315,603703.0,-0.04715118525066575,0.7440665083573476,-0.1584121186440678,60000
1316,603706.0,-0.08070879832159843,0.5825984380489665,-0.15344603125,60000
1317,603707.0,0.0990982487111375,1.195988042149982,-0.06882987804878048,60000
1318,603708.0,-0.2885649511820807,-0.3870712122883691,-0.22901420000000003,60000
1319,603709.0,0.021399671891310645,0.8916632816057619,-0.099762,60000
1320,603711.0,0.007044110884191657,1.0379153085877002,-0.12508229166666665,60000
1321,603712.0,-0.14629495670918893,0.03876788584557884,-0.1521869,60000
1322,603713.0,0.2868850002783557,2.6855003646888362,-0.1023313846153846,60000
1323,603716.0,0.2261770795914214,0.1385430950876529,0.2051212999999999,60000
1324,603717.0,-0.1722271149286954,0.3981946334036916,-0.2334892,60000
1325,603718.0,0.5178542055270902,4.357955544420068,-0.03650338461538464,60000
1326,603721.0,-0.10425999621547535,0.427319146215247,-0.1597402857142857,60000
1327,603722.0,-0.04611745390399774,0.4808046375767358,-0.11199809523809524,60000
1328,603725.0,0.0024938509468881154,1.2911389516079952,-0.17571874999999998,60000
1329,603726.0,0.0618632089023078,1.0432722166367716,-0.08779992857142858,60000
1330,603727.0,-0.0629745059246317,0.7933744891337209,-0.17341800000000002,60000
1331,603728.0,0.04355441522784176,1.269223813458418,-0.11490778125000001,60000
1332,603729.0,-0.09677526590387632,0.6208374445861145,-0.17732808000000003,60000
1333,603730.0,-0.13962587307370902,0.0022054394616418606,-0.13991478947368421,60000
1334,603733.0,0.06825376137811492,1.4819767834807192,-0.13741892857142857,60000
1335,603737.0,-0.06181421283556725,0.6973145024215758,-0.15656723529411765,60000
